lemma4.

n=2
0 0 ; 0 0
0 0 ; 0 1
0 0 ; 1 0
0 0 ; 1 1
0 1 ; 0 0
0 1 ; 0 1
0 1 ; 1 0
0 1 ; 1 1
1 0 ; 0 0
1 0 ; 0 1
1 0 ; 1 0
1 0 ; 1 1
1 1 ; 0 0
1 1 ; 0 1
1 1 ; 1 0
1 1 ; 1 1

0 0 ; 0 0
0 0 ; 0 1
0 0 ; 1 1
0 1 ; 0 1
0 1 ; 1 1
1 1 ; 1 1

0 0 ; 0 0
0 0 ; 0 1
0 0 ; 1 1
0 1 ; 0 1
0 1 ; 1 1
1 1 ; 1 1

i,j,",",k,h, ";", r,s,",",t,u
i j , k h ; r s , t u
0 0 , 0 0 ; 0 0 , 0 0
0 0 , 0 0 ; 0 0 , 0 1
0 0 , 0 0 ; 0 0 , 1 0
0 0 , 0 0 ; 0 0 , 1 1
0 0 , 0 0 ; 0 1 , 0 0
0 0 , 0 0 ; 0 1 , 0 1
0 0 , 0 0 ; 0 1 , 1 0
0 0 , 0 0 ; 0 1 , 1 1
0 0 , 0 0 ; 1 0 , 0 0
0 0 , 0 0 ; 1 0 , 0 1
0 0 , 0 0 ; 1 0 , 1 0
0 0 , 0 0 ; 1 0 , 1 1
0 0 , 0 0 ; 1 1 , 0 0
0 0 , 0 0 ; 1 1 , 0 1
0 0 , 0 0 ; 1 1 , 1 0
0 0 , 0 0 ; 1 1 , 1 1
0 0 , 0 1 ; 0 0 , 0 0
0 0 , 0 1 ; 0 0 , 0 1
0 0 , 0 1 ; 0 0 , 1 0
0 0 , 0 1 ; 0 0 , 1 1
0 0 , 0 1 ; 0 1 , 0 0
0 0 , 0 1 ; 0 1 , 0 1
0 0 , 0 1 ; 0 1 , 1 0
0 0 , 0 1 ; 0 1 , 1 1
0 0 , 0 1 ; 1 0 , 0 0
0 0 , 0 1 ; 1 0 , 0 1
0 0 , 0 1 ; 1 0 , 1 0
0 0 , 0 1 ; 1 0 , 1 1
0 0 , 0 1 ; 1 1 , 0 0
0 0 , 0 1 ; 1 1 , 0 1
0 0 , 0 1 ; 1 1 , 1 0
0 0 , 0 1 ; 1 1 , 1 1
0 0 , 1 0 ; 0 0 , 0 0
0 0 , 1 0 ; 0 0 , 0 1
0 0 , 1 0 ; 0 0 , 1 0
0 0 , 1 0 ; 0 0 , 1 1
0 0 , 1 0 ; 0 1 , 0 0
0 0 , 1 0 ; 0 1 , 0 1
0 0 , 1 0 ; 0 1 , 1 0
0 0 , 1 0 ; 0 1 , 1 1
0 0 , 1 0 ; 1 0 , 0 0
